OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
2024-07-05T00:49:32.377+0800: 81.088: [GC (Allocation Failure) [PSYoungGen: 193792K->33376K(202752K)] 298656K->138328K(320000K), 0.0323905 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:32.716+0800: 81.426: [GC (Allocation Failure) [PSYoungGen: 202336K->12175K(197632K)] 307288K->117135K(314880K), 0.0115763 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2024-07-05T00:49:32.990+0800: 81.700: [GC (Allocation Failure) [PSYoungGen: 173967K->16496K(200192K)] 278927K->125848K(317440K), 0.0249406 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:33.015+0800: 81.725: [Full GC (Ergonomics) [PSYoungGen: 16496K->0K(200192K)] [ParOldGen: 109352K->48453K(117248K)] 125848K->48453K(317440K), [Metaspace: 12060K->12060K(1060864K)], 0.1512248 secs] [Times: user=0.28 sys=0.01, real=0.15 secs] 
2024-07-05T00:49:33.411+0800: 82.122: [GC (Allocation Failure) [PSYoungGen: 161792K->33312K(195072K)] 210245K->81765K(312320K), 0.0381664 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2024-07-05T00:49:33.715+0800: 82.426: [GC (Allocation Failure) [PSYoungGen: 191008K->18240K(198144K)] 239461K->75067K(315392K), 0.0275764 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:34.019+0800: 82.730: [GC (Allocation Failure) [PSYoungGen: 175936K->13680K(196096K)] 232763K->77147K(313344K), 0.0222353 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:34.252+0800: 82.963: [GC (Allocation Failure) [PSYoungGen: 172400K->26704K(197632K)] 235867K->92155K(314880K), 0.0284779 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:34.538+0800: 83.248: [GC (Allocation Failure) [PSYoungGen: 185424K->18496K(197120K)] 250875K->90416K(314368K), 0.0266560 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:34.840+0800: 83.550: [GC (Allocation Failure) [PSYoungGen: 178752K->21574K(198144K)] 250672K->97298K(315392K), 0.0266253 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:35.143+0800: 83.853: [GC (Allocation Failure) [PSYoungGen: 181830K->15692K(200192K)] 257554K->94265K(317440K), 0.0364298 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2024-07-05T00:49:35.458+0800: 84.169: [GC (Allocation Failure) [PSYoungGen: 180044K->20464K(200192K)] 258617K->106258K(317440K), 0.0312717 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:35.710+0800: 84.421: [GC (Allocation Failure) [PSYoungGen: 184816K->28576K(199680K)] 270610K->120023K(316928K), 0.0362677 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2024-07-05T00:49:36.085+0800: 84.796: [GC (Allocation Failure) [PSYoungGen: 193952K->20880K(201216K)] 285399K->117818K(318464K), 0.0468742 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2024-07-05T00:49:36.422+0800: 85.132: [GC (Allocation Failure) [PSYoungGen: 186256K->19349K(200192K)] 283194K->120767K(317440K), 0.0262300 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:36.718+0800: 85.428: [GC (Allocation Failure) [PSYoungGen: 187285K->22048K(201728K)] 288703K->125701K(318976K), 0.0244613 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
