OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
Memory: 4k page, physical 3644708k(2227420k free), swap 4194300k(4194300k free)
CommandLine flags: -XX:InitialHeapSize=58315328 -XX:MaxHeapSize=3221225472 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2024-07-04T22:41:45.361+0800: 164.676: [GC (Allocation Failure) [PSYoungGen: 995040K->20042K(997888K)] 1059172K->84182K(1090560K), 0.0184186 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:46.778+0800: 166.092: [GC (Allocation Failure) [PSYoungGen: 997450K->28176K(1011200K)] 1061590K->92324K(1103872K), 0.0289837 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-04T22:41:48.228+0800: 167.542: [GC (Allocation Failure) [PSYoungGen: 1004560K->10869K(1012224K)] 1068708K->75026K(1104896K), 0.0125677 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-04T22:41:49.565+0800: 168.880: [GC (Allocation Failure) [PSYoungGen: 987253K->24389K(1012224K)] 1051410K->88553K(1104896K), 0.0217929 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2024-07-04T22:41:50.999+0800: 170.313: [GC (Allocation Failure) [PSYoungGen: 1000773K->25792K(1012224K)] 1064937K->89964K(1104896K), 0.0252531 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:52.430+0800: 171.744: [GC (Allocation Failure) [PSYoungGen: 1002176K->12472K(1011712K)] 1066348K->76653K(1104384K), 0.0128852 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-04T22:41:53.762+0800: 173.076: [GC (Allocation Failure) [PSYoungGen: 988344K->25641K(1012224K)] 1052525K->89830K(1104896K), 0.0227091 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:55.226+0800: 174.540: [GC (Allocation Failure) [PSYoungGen: 1001513K->24080K(1011200K)] 1065702K->88276K(1103872K), 0.0252135 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:56.607+0800: 175.921: [GC (Allocation Failure) [PSYoungGen: 999952K->21360K(1011712K)] 1064148K->85564K(1104384K), 0.0193432 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:57.938+0800: 177.252: [GC (Allocation Failure) [PSYoungGen: 997232K->25458K(1012224K)] 1061436K->89670K(1104896K), 0.0246579 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:59.361+0800: 178.675: [GC (Allocation Failure) [PSYoungGen: 1002866K->21488K(1012224K)] 1067078K->85708K(1104896K), 0.0221956 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-04T22:42:00.826+0800: 180.140: [GC (Allocation Failure) [PSYoungGen: 998896K->33776K(1002496K)] 1063116K->106256K(1095168K), 0.0456187 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
2024-07-04T22:42:02.345+0800: 181.659: [GC (Allocation Failure) [PSYoungGen: 1002305K->18298K(1008640K)] 1074785K->90786K(1101312K), 0.0200588 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-04T22:42:03.765+0800: 183.079: [GC (Allocation Failure) [PSYoungGen: 987002K->28272K(1008128K)] 1059490K->100760K(1100800K), 0.0323945 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2024-07-04T22:42:05.234+0800: 184.548: [GC (Allocation Failure) [PSYoungGen: 997488K->13770K(1008640K)] 1069976K->86266K(1101312K), 0.0166454 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-04T22:42:06.614+0800: 185.928: [GC (Allocation Failure) [PSYoungGen: 982986K->18099K(1007616K)] 1055482K->90603K(1100288K), 0.0200313 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-04T22:42:08.074+0800: 187.388: [GC (Allocation Failure) [PSYoungGen: 987315K->29648K(1008128K)] 1059819K->102160K(1100800K), 0.0368167 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2024-07-04T22:42:09.566+0800: 188.880: [GC (Allocation Failure) [PSYoungGen: 998864K->27568K(1008640K)] 1071376K->100088K(1101312K), 0.0274146 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2024-07-04T22:42:11.062+0800: 190.376: [GC (Allocation Failure) [PSYoungGen: 996272K->25904K(994816K)] 1068792K->98432K(1087488K), 0.0295953 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
2024-07-04T22:42:12.457+0800: 191.771: [GC (Allocation Failure) [PSYoungGen: 994608K->19488K(1008128K)] 1067136K->92024K(1100800K), 0.0208615 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-04T22:42:13.864+0800: 193.179: [GC (Allocation Failure) [PSYoungGen: 988704K->30560K(1007616K)] 1061240K->103104K(1100288K), 0.0320701 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2024-07-04T22:42:15.366+0800: 194.680: [GC (Allocation Failure) [PSYoungGen: 999776K->22530K(1009152K)] 1072320K->95082K(1101824K), 0.0226340 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
